,transaction_time,quantity,open,high,low,close,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
0,2024-03-06 00:00:00,199.38,63747.5,63818.8,63713.4,63812.8,63812.7,2.189,63812.8,0.261
1,2024-03-06 00:00:30,133.547,63812.7,63846.1,63791.7,63846.1,63846.0,2.474,63846.1,0.165
2,2024-03-06 00:01:00,202.465,63846.0,63864.6,63746.9,63798.7,63801.9,1.763,63802.0,1.263
3,2024-03-06 00:01:30,110.255,63802.0,63855.6,63771.6,63771.6,63771.6,0.064,63771.7,5.025
4,2024-03-06 00:02:00,178.824,63771.7,63873.0,63750.7,63866.3,63866.2,2.717,63866.3,3.063
5,2024-03-06 00:02:30,284.075,63866.3,63894.2,63757.7,63791.2,63791.1,0.973,63791.2,1.647
6,2024-03-06 00:03:00,170.167,63791.2,63791.2,63668.8,63683.3,63683.2,0.901,63683.3,2.271
7,2024-03-06 00:03:30,133.916,63683.2,63698.9,63657.3,63689.4,63689.3,2.594,63689.4,1.085
8,2024-03-06 00:04:00,181.011,63689.4,63725.1,63675.7,63720.9,63720.8,1.39,63720.9,2.453
9,2024-03-06 00:04:30,655.203,63720.9,63736.2,63583.1,63629.5,63629.5,4.779,63629.6,1.202
10,2024-03-06 00:05:00,221.075,63629.6,63665.4,63568.8,63573.5,63573.5,3.919,63573.6,2.092
11,2024-03-06 00:05:30,258.628,63573.6,63600.0,63553.9,63600.0,63599.9,15.934,63600.0,17.539
12,2024-03-06 00:06:00,211.93800000000002,63600.0,63693.3,63599.9,63667.9,63667.8,3.01,63667.9,1.599
13,2024-03-06 00:06:30,128.502,63667.8,63710.0,63667.8,63709.7,63709.6,2.998,63709.7,2.09
14,2024-03-06 00:07:00,137.405,63709.6,63755.0,63667.0,63754.9,63754.9,3.535,63755.0,2.272
15,2024-03-06 00:07:30,140.958,63754.9,63789.2,63742.2,63769.6,63769.6,1.144,63769.7,4.903
16,2024-03-06 00:08:00,119.018,63769.7,63769.7,63664.7,63672.0,63671.9,3.097,63672.0,0.556
17,2024-03-06 00:08:30,113.651,63672.1,63690.5,63620.6,63637.2,63637.1,4.999,63637.2,1.422
18,2024-03-06 00:09:00,62.178,63637.2,63716.0,63611.3,63716.0,63715.9,0.942,63716.0,3.723
19,2024-03-06 00:09:30,64.979,63716.0,63729.9,63682.5,63704.6,63704.5,1.961,63704.6,1.376
20,2024-03-06 00:10:00,111.857,63704.7,63762.6,63695.1,63697.4,63697.3,3.68,63697.4,1.758
21,2024-03-06 00:10:30,710.568,63697.4,63858.4,63697.3,63853.6,63853.6,3.964,63853.7,0.587
22,2024-03-06 00:11:00,197.104,63853.7,63865.0,63731.5,63738.7,63738.7,4.705,63738.8,1.378
23,2024-03-06 00:11:30,76.654,63738.7,63745.4,63684.0,63703.7,63703.6,0.026,63703.7,4.309
24,2024-03-06 00:12:00,58.012,63703.6,63714.4,63676.0,63683.6,63683.6,1.615,63683.7,0.449
25,2024-03-06 00:12:30,61.572,63683.7,63694.0,63650.0,63686.5,63686.4,3.26,63686.5,0.971
26,2024-03-06 00:13:00,161.68,63686.5,63808.4,63686.4,63780.1,63780.0,0.676,63780.1,5.626
27,2024-03-06 00:13:30,78.714,63780.0,63780.0,63697.1,63714.8,63714.8,5.036,63714.9,1.405
28,2024-03-06 00:14:00,62.21,63714.9,63717.0,63672.2,63672.3,63672.2,0.414,63672.3,5.438
