date,open,high,low,close,Volume BTC,Volume USD,log_return,pct_return,bitcoin_return,MACD,Signal Line,ha_close,ha_open,ha_high,ha_low,150_day_vol,100_day_vol,50_day_vol,30_day_vol,10_day_vol,7_day_vol,5_day_vol
2015-10-08,245.0,245.0,243.6,243.95,31.148048222,761.168509505618,-0.004294924282880841,-0.004285714285714332,0.9971469387755102,0.0,0.0,244.3875,,245.0,243.6,,,,,,,
2015-10-09,243.95,249.97,243.6,245.39,56.027840767,578.6965433678063,0.005885495388418431,0.005902848944455822,0.9966768707482992,0.11487179487178878,0.022974358974357758,245.7275,244.475,249.97,243.6,,,,,,,
2015-10-10,245.39,246.3,244.6,246.3,39.348777296,402.48322267358753,0.0037015234762277378,0.0037083825746771467,1.0016462585034016,0.27615457666740895,0.07361040251296799,245.64749999999998,244.67,246.3,244.6,,,,,,,
2015-10-11,246.3,249.5,245.96,249.5,14.487782943,149.32393583010418,0.01290861006508108,0.01299228583028822,1.0077840136054423,0.654639325063755,0.1898161870231254,247.815,245.845,249.5,245.845,,,,,,,
2015-10-12,249.5,249.5,247.6,247.6,62.78747993,648.4070615198833,-0.007644374381132304,-0.007615230460921866,1.0129931972789115,0.7921457310715709,0.3102820958328145,248.55,247.9,249.5,247.6,,,,,,,0.008228688958839247
2015-10-13,247.6,252.87,245.75,250.42,115.425756399,1203.0164140847667,0.011324967430360523,0.011389337641357,1.0163656462585033,1.115808633430163,0.47138740335228424,249.16,248.55,252.87,245.75,,,,,,,0.00815395839134755
2015-10-14,250.42,254.75,250.42,253.0,211.556761974,2220.71214291154,0.010249980486718603,0.01030269147831648,1.0291224489795916,1.5624868773472258,0.6896072981512726,252.14749999999998,249.01,254.75,249.01,,,,,,0.007955092894625093,0.008469877437478053
2015-10-15,253.0,258.98,253.0,255.31,384.374951141,4097.716762145577,0.009089004357195951,0.009130434782608705,1.0420374149659863,2.0789158504748855,0.9674690086159953,255.0725,251.70999999999998,258.98,251.70999999999998,,,,,,0.0070096445528648,0.008425222399065305
2015-10-16,255.31,278.0,254.84,264.0,553.365007684,6083.558799013562,0.033470610061599945,0.03403705299439896,1.0665850340136054,3.153053469301682,1.4045859007531327,263.0375,254.155,278.0,254.155,,,,,,0.012497794949901402,0.014835416648465775
2015-10-17,264.0,285.0,263.75,272.47,234.06985096,2638.957375479655,0.031579413153322695,0.032083333333333436,1.107998299319728,4.634351564173954,2.050539033437297,271.305,259.655,285.0,259.655,,,,,0.013507566404511676,0.014365795522156,0.012525028094810578
2015-10-18,272.47,274.89,264.01,268.46,48.841672719,551.5834161103829,-0.01482658924014886,-0.014717216574301932,1.1048316326530614,5.422213586490699,2.7248739440479777,269.9575,268.235,274.89,264.01,,,,,0.01510708935578977,0.018195384701644134,0.01993998396705961
2015-10-19,268.46,274.77,265.0,266.33,175.663809968,1964.1180598293438,-0.007965785684202104,-0.007934142889070982,1.0995068027210886,5.807778263958284,3.341454808030039,268.64,270.46500000000003,274.77,265.0,,,,,0.016096955362885138,0.01824908602404946,0.022346322446935792
2015-10-20,266.33,275.99,266.33,272.0,161.66942954,1828.6328539654457,0.02106592492070942,0.021289377839522457,1.1073282312925172,6.495981036743956,3.9723600537728228,270.16249999999997,267.395,275.99,266.33,,,,,0.016490449215106298,0.01869738955696144,0.022814007507647626
2015-10-21,272.0,272.75,269.5,272.0,375.96028562,4255.014554881459,0.0,0.0,1.109821428571429,6.96114296941937,4.570116636902132,271.5625,269.16499999999996,272.75,269.16499999999996,,,,,0.016746706603797325,0.019253023835439732,0.019832830631803966
2015-10-22,272.0,279.98,271.23,276.92,575.0902530420001,6626.669762218986,0.01792658951382733,0.018088235294117707,1.1235612244897966,7.638735446935243,5.183840398908755,275.0325,272.0,279.98,271.23,,,,,0.015898955210348804,0.019439310739293402,0.015843101334334708
2015-10-23,276.92,283.95,276.89,280.25,634.4928133320001,7394.077429375204,0.011953406142444533,0.012025133612595638,1.141818027210885,8.348202653570922,5.816712849841189,279.5025,274.46000000000004,283.95,274.46000000000004,,,,,0.015900326070044102,0.016858322972219727,0.012349822087545061
